Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0201_0603Metric",30.100000,6.000000,180.000000,bottom
"C2","0.1uF","C_0201_0603Metric",28.100000,6.000000,0.000000,bottom
"C109","1uF","C_0603_1608Metric",48.500000,56.500000,0.000000,bottom
"C118","0.1uF","C_0603_1608Metric",48.500000,58.000000,0.000000,bottom
"C201","0.1uF","C_0201_0603Metric",44.100000,6.000000,180.000000,bottom
"C202","0.1uF","C_0201_0603Metric",42.100000,6.000000,0.000000,bottom
"C203","0.1uF","C_0201_0603Metric",55.750000,7.250000,0.000000,bottom
"C204","0.1uF","C_0201_0603Metric",55.750000,6.500000,0.000000,bottom
"C205","0.1uF","C_0201_0603Metric",55.750000,22.000000,0.000000,bottom
"C206","0.1uF","C_0201_0603Metric",55.750000,21.250000,0.000000,bottom
"C207","0.1uF","C_0201_0603Metric",55.750000,34.750000,0.000000,bottom
"C208","0.1uF","C_0201_0603Metric",55.750000,34.000000,0.000000,bottom
"C209","0.1uF","C_0201_0603Metric",55.750000,49.250000,0.000000,bottom
"C210","0.1uF","C_0201_0603Metric",55.750000,48.500000,0.000000,bottom
"C211","0.1uF","C_0201_0603Metric",55.750000,9.250000,0.000000,bottom
"C212","0.1uF","C_0201_0603Metric",55.750000,8.500000,0.000000,bottom
"C213","0.1uF","C_0201_0603Metric",55.750000,24.000000,0.000000,bottom
"C214","0.1uF","C_0201_0603Metric",55.750000,23.250000,0.000000,bottom
"C215","0.1uF","C_0201_0603Metric",55.750000,36.750000,0.000000,bottom
"C216","0.1uF","C_0201_0603Metric",55.750000,36.000000,0.000000,bottom
"C217","0.1uF","C_0201_0603Metric",55.750000,51.250000,0.000000,bottom
"C218","0.1uF","C_0201_0603Metric",55.750000,50.500000,0.000000,bottom
"C219","0.1uF","C_0201_0603Metric",55.750000,11.250000,0.000000,bottom
"C220","0.1uF","C_0201_0603Metric",55.750000,10.500000,0.000000,bottom
"C221","0.1uF","C_0201_0603Metric",55.750000,26.000000,0.000000,bottom
"C222","0.1uF","C_0201_0603Metric",55.750000,25.250000,0.000000,bottom
"C223","0.1uF","C_0201_0603Metric",55.750000,38.750000,0.000000,bottom
"C224","0.1uF","C_0201_0603Metric",55.750000,38.000000,0.000000,bottom
"C225","0.1uF","C_0201_0603Metric",55.750000,53.250000,0.000000,bottom
"C226","0.1uF","C_0201_0603Metric",55.750000,52.500000,0.000000,bottom
"C227","0.1uF","C_0201_0603Metric",55.750000,13.250000,0.000000,bottom
"C228","0.1uF","C_0201_0603Metric",55.750000,12.500000,0.000000,bottom
"C229","0.1uF","C_0201_0603Metric",55.750000,28.000000,0.000000,bottom
"C230","0.1uF","C_0201_0603Metric",55.750000,27.250000,0.000000,bottom
"C231","0.1uF","C_0201_0603Metric",55.750000,40.750000,0.000000,bottom
"C232","0.1uF","C_0201_0603Metric",55.750000,40.000000,0.000000,bottom
"C233","0.1uF","C_0201_0603Metric",55.750000,55.250000,0.000000,bottom
"C234","0.1uF","C_0201_0603Metric",55.750000,54.500000,0.000000,bottom
"FID103","Fiducial","Fiducial_1mm_Mask2mm",-10.900000,0.000000,0.000000,bottom
"FID105","Fiducial","Fiducial_1mm_Mask2mm",-10.900000,63.000000,0.000000,bottom
"FID106","Fiducial","Fiducial_1mm_Mask2mm",50.100000,2.000000,0.000000,bottom
"J1","ARF6-08-S-RA-TR","SAMTEC_ARF6-08-S-RA-TR",65.100000,9.000000,-90.000000,bottom
"J2","ARF6-08-S-RA-TR","SAMTEC_ARF6-08-S-RA-TR",65.100000,23.500000,-90.000000,bottom
"J3","ARF6-08-S-RA-TR","SAMTEC_ARF6-08-S-RA-TR",65.100000,38.000000,-90.000000,bottom
"J4","ARF6-08-S-RA-TR","SAMTEC_ARF6-08-S-RA-TR",65.100000,52.500000,-90.000000,bottom
"J103","FMCP_VITA57.4","FMC_SEAM_ASP_184330_BGA-560_40x14_55.778x19.76mm",-1.985000,31.465000,-90.000000,bottom
"J120","Conn_Coaxial","SF2921-61345-1S",13.100000,56.000000,180.000000,bottom
"J121","Conn_Coaxial","SF2921-61345-1S",26.100000,56.000000,0.000000,bottom
"J122","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",39.000000,64.000000,90.000000,bottom
"R110","4.7k","R_0603_1608Metric_DNP",48.500000,61.000000,180.000000,bottom
"R111","4.7k","R_0603_1608Metric_DNP",48.500000,59.500000,180.000000,bottom
"R201","0","R_0201_0603Metric",14.100000,6.000000,0.000000,bottom
"R202","0","R_0201_0603Metric",16.100000,6.000000,180.000000,bottom
"R203","4.7k","R_0603_1608Metric",-5.668000,63.850000,180.000000,bottom
"TP101","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm",27.000000,64.000000,0.000000,bottom
"TP102","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm",15.000000,64.000000,0.000000,bottom
"TP105","TestPoint","TestPoint_Loop_D2.50mm_Drill1.0mm",21.000000,64.000000,0.000000,bottom
"U101","M24C02-FDW","TSSOP-8_4.4x3mm_P0.65mm",42.000000,59.500000,0.000000,bottom
